epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,4296.22,0.93071,0.90615,1.21695,0.82389,0.77945,0.84041,0.63694,0.9368,0.83299,1.24781,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
33,4429.23,0.92146,0.88802,1.21429,0.8412,0.79252,0.84955,0.64506,0.91507,0.79082,1.24371,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
34,4558.3,0.9161,0.88169,1.2031,0.83538,0.79344,0.84892,0.64665,0.91797,0.77911,1.24509,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
35,4685.72,0.91414,0.87135,1.19878,0.82881,0.79082,0.84372,0.64439,0.92494,0.80698,1.24578,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
36,4812.32,0.90733,0.87119,1.19648,0.86051,0.79441,0.85542,0.65963,0.88245,0.77663,1.22073,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
37,4939.99,0.90205,0.86757,1.19682,0.85596,0.78437,0.85328,0.6556,0.89639,0.77366,1.22392,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
38,5069.71,0.90503,0.85082,1.19472,0.85189,0.78364,0.85345,0.6554,0.89951,0.76979,1.2171,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779
39,5197.44,0.89713,0.84186,1.18684,0.84525,0.81263,0.86294,0.6732,0.86846,0.73356,1.19706,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
40,5324.19,0.88928,0.84553,1.18659,0.85333,0.79758,0.85382,0.65593,0.89885,0.77051,1.2074,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
41,5450.31,0.89306,0.83887,1.188,0.842,0.8046,0.85353,0.66359,0.88251,0.78468,1.21185,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
